"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jan 15 17:58:34 SAST 2023","Sun Jan 15 17:58:37 SAST 2023","3207","","Login to manage tasks app","","","","Login in to the application with valid credentials",""
"broken","Sun Jan 15 17:56:57 SAST 2023","Sun Jan 15 17:56:57 SAST 2023","0","","cypress/e2e/pages/MyDayPage.cy.ts","","","","Oops...we found an error preparing this test file: cypress/e2e/pages/MyDayPage.cy.ts",""
"passed","Sun Jan 15 17:58:49 SAST 2023","Sun Jan 15 17:58:52 SAST 2023","3070","","Login to manage tasks app","","",""," Validate favorites page",""
"passed","Sun Jan 15 17:58:39 SAST 2023","Sun Jan 15 17:58:40 SAST 2023","1610","","Login to manage tasks app","","","","Logout",""
"passed","Sun Jan 15 17:58:40 SAST 2023","Sun Jan 15 17:58:44 SAST 2023","3987","","Login to manage tasks app","","","","Validate add and remove a task",""
"broken","Sun Jan 15 17:56:49 SAST 2023","Sun Jan 15 17:56:49 SAST 2023","1","","cypress/e2e/pages/ImportantTasksPage.cy.ts","","","","Oops...we found an error preparing this test file: cypress/e2e/pages/ImportantTasksPage.cy.ts",""
"broken","Sun Jan 15 17:56:43 SAST 2023","Sun Jan 15 17:56:43 SAST 2023","0","","cypress/e2e/pages/AllTasksPage.cy.ts","","","","Oops...we found an error preparing this test file: cypress/e2e/pages/AllTasksPage.cy.ts",""
"broken","Sun Jan 15 17:57:01 SAST 2023","Sun Jan 15 17:57:01 SAST 2023","0","","cypress/e2e/test/manage-user-tasks-spec.cy.ts","","","","Oops...we found an error preparing this test file: cypress/e2e/test/manage-user-tasks-spec.cy.ts",""
"passed","Sun Jan 15 17:58:44 SAST 2023","Sun Jan 15 17:58:47 SAST 2023","3073","","Login to manage tasks app","","","","Validate marking or unmarking a task as done",""
"passed","Sun Jan 15 17:58:47 SAST 2023","Sun Jan 15 17:58:49 SAST 2023","1446","","Login to manage tasks app","","","","Validate all tasks page",""
"passed","Sun Jan 15 17:58:37 SAST 2023","Sun Jan 15 17:58:39 SAST 2023","1623","","Login to manage tasks app","","","","Validate landing page",""
"broken","Sun Jan 15 17:56:53 SAST 2023","Sun Jan 15 17:56:53 SAST 2023","0","","cypress/e2e/pages/LoginPage.cy.ts","","","","Oops...we found an error preparing this test file: cypress/e2e/pages/LoginPage.cy.ts",""
